new_cases,positive_test_rate,total_vaccinations,people_fully_vaccinated,new_deaths
3653,0.1473,0,0,211
3902,0.1789,0,0,235
4151,0.2034,0,0,227
4019,0.1381,0,0,239
4392,0.1412,0,0,230
4142,0.1445,0,0,210
3875,0.1362,0,0,195
3822,0.1281,0,0,251
4206,0.1206,0,0,272
4108,0.1124,0,0,254
4830,0.1537,0,0,279
4616,0.1534,0,0,256
4552,0.154,0,0,265
4103,0.1537,0,0,253
3890,0.1526,0,0,252
4251,0.152,0,0,337
5039,0.1559,0,0,322
5616,0.1597,0,0,312
5471,0.1629,0,0,304
6134,0.1693,0,0,335
5814,0.1848,0,0,335
6191,0.2047,0,0,296
5960,0.2245,0,0,337
6968,0.1947,0,0,346
6824,0.1952,0,0,415
8293,0.2192,0,0,399
8011,0.2419,0,0,365
7820,0.2003,0,0,386
7719,0.194,0,0,434
8289,0.2044,0,0,440
8932,0.2604,0,0,422
8452,0.2288,0,0,419
8772,0.2138,0,0,406
8864,0.2025,0,0,424
9450,0.2359,0,0,423
9236,0.2394,0,0,459
10463,0.2293,0,0,458
10339,0.218,0,0,453
11780,0.2555,0,0,462
11517,0.263,0,0,457
11737,0.2704,0,0,461
11203,0.2736,0,0,452
12543,0.2834,0,0,459
13053,0.2911,0,0,486
13352,0.3,0,0,482
13421,0.3058,0,0,480
13223,0.3114,0,0,476
13260,0.3174,0,0,479
12931,0.3242,0,0,431
13053,0.3264,0,0,475
12460,0.3242,0,0,453
13721,0.3231,0,0,483
13843,0.3227,0,0,469
13961,0.3235,0,0,482
14051,0.3245,0,0,406
13402,0.3245,0,0,391
12950,0.3209,0,0,388
13321,0.3207,0,0,372
13881,0.3207,0,0,382
13621,0.3187,0,0,362
13922,0.3177,0,0,358
13341,0.3134,0,0,347
12151,0.3065,0,0,321
11561,0.3009,0,0,294
10827,0.291,0,0,284
11023,0.2796,0,0,323
10223,0.2666,0,0,295
10403,0.2536,0,0,284
9384,0.24,0,0,231
8411,0.2278,0,0,222
7451,0.2214,0,0,247
7501,0.2179,0,0,251
7704,0.2145,0,0,223
7603,0.2133,0,0,213
7453,0.1837,0,0,212
7121,0.1608,0,0,178
6421,0.1519,0,0,175
6312,0.1417,0,0,177
6151,0.1319,0,0,191
6208,0.1222,0,0,187
6261,0.1137,0,0,153
6178,0.1169,0,0,152
6021,0.121,0,0,132
5760,0.119,0,0,134
5502,0.1166,0,0,119
5908,0.1153,0,0,121
6108,0.1147,0,0,132
6272,0.1143,0,0,149
6389,0.1141,0,0,128
6287,0.1154,0,0,114
6045,0.1155,0,0,101
5960,0.1161,0,0,102
6073,0.1163,0,0,110
6113,0.116,0,0,98
6283,0.1158,0,0,82
6360,0.1157,0,0,103
6251,0.1143,0,0,85
5924,0.114,0,0,82
5968,0.114,0,0,71
6208,0.1145,0,0,91
6408,0.1152,0,0,98
6317,0.1157,0,0,97
6471,0.1162,0,0,81
6485,0.117,0,0,83
6100,0.1177,0,0,96
6016,0.118,0,0,86
5806,0.1172,0,0,83
5917,0.1158,0,0,87
6182,0.1151,0,0,84
6204,0.1137,0,0,93
6332,0.1133,0,0,75
6180,0.1134,0,0,69
5945,0.1127,0,0,89
6309,0.1133,0,0,98
6420,0.1144,0,0,79
6608,0.1153,0,0,91
6527,0.1163,0,0,85
6573,0.1168,0,0,71
6317,0.1171,0,0,82
6268,0.1184,0,0,70
6597,0.1192,0,0,79
6820,0.1204,0,0,72
6870,0.1212,0,0,79
7040,0.1224,0,0,67
7054,0.1234,0,0,80
6990,0.1249,0,0,76
7065,0.1268,0,0,57
7321,0.1284,0,0,67
7640,0.1301,3000,3000,89
7585,0.1324,10000,10000,61
7474,0.1342,10000,10000,65
7298,0.1348,10000,10000,58
7120,0.135,10000,10000,74
7390,0.1358,10000,10000,62
7760,0.1369,10000,10000,83
8011,0.1377,10000,10000,89
8042,0.1378,10000,10000,67
8066,0.1382,124193,124193,80
8017,0.1393,124193,124193,77
7922,0.1404,124193,124193,68
7931,0.1408,124193,124193,74
8263,0.1418,124193,124193,89
8330,0.1423,124193,124193,91
8270,0.1422,124193,124193,73
8206,0.1418,124193,124193,94
8103,0.1413,124193,124193,69
7975,0.1405,124193,124193,81
8010,0.1398,124193,124193,93
8510,0.1396,124193,124193,108
8495,0.1392,124193,124193,86
8525,0.1394,124193,124193,86
8404,0.1393,124193,124193,78
8367,0.1393,124193,124193,81
8212,0.1397,124193,124193,82
8010,0.1385,124193,124193,93
8313,0.1369,124193,124193,99
8554,0.136,124193,124193,81
8603,0.135,124193,124193,61
8308,0.1339,124193,124193,88
8088,0.1323,124193,124193,53
7802,0.1305,124193,124193,73
7593,0.1295,124193,124193,88
7980,0.1287,124193,124193,100
8380,0.1283,124193,124193,97
7802,0.1262,124193,124193,65
7530,0.1242,124193,124193,89
7620,0.1229,124193,124193,68
7540,0.122,124193,124193,75
7260,0.121,124193,124193,73
7357,0.1194,124193,124193,80
7290,0.1167,124193,124193,74
7605,0.1163,124193,124193,94
7506,0.1162,124193,124193,97
7980,0.117,124193,124193,81
8120,0.1183,319890,319890,85
8751,0.1205,319890,319890,89
9310,0.1247,319890,319890,81
10250,0.13,319890,319890,91
10330,0.1341,319890,319890,96
11750,0.141,319890,319890,94
11660,0.1468,319890,319890,117
11420,0.1503,319890,319890,123
11680,0.1551,319890,319890,161
13890,0.1617,319890,319890,172
17430,0.1742,319890,319890,174
20954,0.1939,319890,319890,193
22586,0.2075,319890,319890,185
22478,0.2196,319890,319890,155
19666,0.2282,319890,319890,193
21063,0.2372,319890,319890,258
23311,0.2459,319890,319890,274
24760,0.2511,319890,319890,291
25582,0.2518,462642,100691,304
25078,0.2488,462642,100691,321
25261,0.2464,462642,100691,328
21312,0.2425,462642,100691,319
21644,0.2372,462642,100691,405
24346,0.2329,550131,134047,398
25492,0.2283,621822,141176,395
24886,0.2185,621822,141176,388
24092,0.2137,667202,148298,453
22904,0.2089,667202,148298,380
18230,0.2032,667202,148298,374
19165,0.1984,667202,148298,454
21026,0.1926,667202,148298,496
20963,0.184,667202,148298,462
21713,0.1782,938754,193840,434
19899,0.1714,1002591,204126,385
19272,0.1627,1068123,209827,407
17080,0.1573,1068123,209827,332
18698,0.153,1068123,209827,394
20732,0.149,1068123,209827,391
