Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm),Carbon Dioxide (ppm)
319.04,319.72,319.05,319.74
319.03,317.8,319.09,317.77
319.12,316.21,319.13,316.21
319.01,316.17,319.18,315.99
318.97,317.34,319.22,317.06
319.14,318.49,319.27,318.35
319.55,319.34,319.31,319.57
319.42,322.32,319.49,322.26
319.76,321.63,319.52,321.89
319.76,320.2,319.55,320.44
319.99,318.25,319.58,318.69
319.63,316.65,319.6,316.71
319.9,316.6,319.62,316.87
319.59,317.75,319.63,317.68
319.5,318.88,319.65,318.71
319.42,319.71,319.68,319.44
319.82,320.34,319.71,320.44
319.58,321.08,319.76,320.89
319.77,322.2,319.82,322.14
319.32,322.74,319.9,322.16
319.71,322.13,319.99,321.87
320.5,320.77,320.09,321.21
320.14,318.9,320.2,318.87
320.75,317.37,320.32,317.82
320.35,317.4,320.43,317.3
320.79,318.65,320.55,318.87
320.21,319.88,320.66,319.42
320.61,320.81,320.78,320.62
320.97,321.54,320.91,321.59
321.07,322.34,321.01,322.39
321.33,323.51,321.12,323.7
321.22,324.08,321.23,324.08
321.59,323.47,321.32,323.75
321.68,322.09,321.41,322.39
321.64,320.17,321.48,320.36
321.58,318.59,321.55,318.64
321.16,318.57,321.62,318.1
321.71,319.77,321.68,319.79
321.82,320.96,321.74,321.03
322.31,321.83,321.8,322.32
321.87,322.49,321.85,322.5
321.72,323.24,321.9,323.04
322.04,324.35,321.95,324.42
322.13,324.87,322.01,325
321.92,324.22,322.07,324.09
321.83,322.81,322.13,322.55
322.2,320.88,322.2,320.92
322.21,319.3,322.27,319.25
322.46,319.29,322.34,319.39
322.66,320.5,322.42,320.72
322.76,321.71,322.49,321.96
322.55,322.6,322.57,322.57
322.52,323.28,322.65,323.14
322.54,324.09,322.73,323.89
322.61,325.25,322.82,325.02
322.69,325.79,322.92,325.57
323.2,325.17,323.02,325.36
323.45,323.79,323.13,324.14
323.42,321.9,323.25,322.11
323.3,320.37,323.36,320.33
323.32,320.42,323.48,320.25
323.26,321.69,323.61,321.32
323.7,322.95,323.74,322.89
323.98,323.91,323.88,324
323.79,324.66,324.03,324.42
324.31,325.5,324.16,325.63
324.26,326.72,324.3,326.66
324.49,327.33,324.44,327.38
324.51,326.74,324.57,326.7
325.16,325.38,324.69,325.88
324.95,323.48,324.8,323.66
325.35,321.91,324.9,322.38
324.87,321.91,324.99,321.78
324.8,323.15,325.07,322.85
324.92,324.36,325.15,324.12
325.04,325.27,325.24,325.06
325.35,325.96,325.32,325.98
325.59,326.74,325.39,326.93
325.73,327.9,325.47,328.14
325.18,328.45,325.55,328.08
325.47,327.8,325.63,327.67
325.62,326.39,325.7,326.34
325.98,324.44,325.77,324.69
326.08,322.83,325.83,323.1
326.17,322.79,325.88,323.07
325.96,323.99,325.93,324.01
325.94,325.17,325.97,325.13
326.15,326.04,326.01,326.17
326.05,326.69,326.04,326.68
325.83,327.44,326.08,327.17
325.37,328.57,326.13,327.79
326.01,329.1,326.19,328.92
326.36,328.44,326.26,328.57
326.64,327.02,326.33,327.36
326.73,325.06,326.4,325.43
326.36,323.46,326.47,323.36
326.68,323.44,326.54,323.57
326.76,324.68,326.62,324.8
326.83,325.9,326.69,326.01
326.75,326.81,326.78,326.77
327,327.51,326.87,327.63
326.38,328.35,326.97,327.75
327.27,329.55,327.09,329.73
327.15,330.13,327.22,330.07
326.89,329.54,327.37,329.09
327.35,328.19,327.53,328.04
327.65,326.34,327.71,326.32
327.86,324.87,327.9,324.84
328.32,324.99,328.09,325.2
328.46,326.36,328.3,326.5
328.37,327.71,328.5,327.55
328.53,328.75,328.71,328.55
328.92,329.57,328.92,329.56
328.95,330.47,329.11,330.3
329.07,331.76,329.31,331.5
329.55,332.41,329.48,332.48
329.85,331.85,329.64,332.07
330.14,330.48,329.78,330.87
330.62,328.54,329.89,329.31
330.53,326.93,329.96,327.51
330.32,326.89,330.01,327.18
330.14,328.09,330.05,328.16
329.46,329.26,330.07,328.64
329.33,330.12,330.09,329.35
330.07,330.76,330.11,330.71
330.13,331.51,330.14,331.48
330.2,332.63,330.17,332.65
330.14,333.15,330.21,333.09
330.02,332.47,330.25,332.25
330.45,331,330.3,331.18
330.71,329,330.35,329.39
330.46,327.36,330.4,327.43
330.52,327.32,330.46,327.37
330.44,328.55,330.51,328.46
330.39,329.77,330.58,329.57
330.38,330.68,330.65,330.4
330.76,331.38,330.73,331.4
330.68,332.19,330.81,332.04
330.86,333.38,330.91,333.31
331.02,333.95,331,333.97
